text,emotion,bias/distortion,context,feedback/insight,behavioral_recommendation,progress_tracking,motivation,perception,habit,social_influence,attention,memory,trust,past_experience,decision_making,adaptive_behavior,identity,situational_trigger,cultural,text_clean,text_length,word_count,polarity,subjectivity,TextBlob_Analysis,cogdist_keyword_count,neg_emotion_word_count,tfidf_always,tfidf_never,tfidf_cant,tfidf_im,tfidf_feel,tfidf_everyone,tfidf_nothing,tfidf_must,tfidf_job,tfidf_family,tfidf_relationship,tfidf_think,tfidf_work,tfidf_career,tfidf_need,tfidf_should,date,big5_openness,big5_conscientiousness,big5_extraversion,big5_agreeableness,big5_neuroticism,quirk_cluster,peer_group,detected_distortions,distortion_count
"""My manager asked me to redo part of my report. This means my work is completely unacceptable and I'll probably be fired soon.""",fear,fortune telling,workplace feedback,Recognition of normal revision process without assuming extreme consequences,Address specific feedback while maintaining professional perspective,Work quality refinement,Job security motivation,Job threat perception,Catastrophic thinking tendency,Workplace evaluation pressure,Selective attention to criticism,Creation of professional concern memory,Diminished trust in job security,Integration with workplace history,Fear-driven decision making,Maladaptive response to routine feedback,Competent employee identity threatened,Performance feedback situation,Professional quality valued,manager asked redo part report mean work completely unacceptable ill probably fired soon,88,13,-0.23750000000000002,0.6958333333333333,Negative,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2025-11-09,0,0,0,0,0,2,0,['none detected'],0
"""My child's teacher suggested we consider additional reading support. This means my child is behind and will struggle academically forever. I should have done more reading with them when they were younger.""",guilt,blaming,parenting concern,Recognition of educational support opportunity without self-recrimination,Explore appropriate resources while avoiding retroactive blame,Child development support opportunity,Nurturing motivation,Parental failure perception,Self-criticism tendency,Educational achievement pressure,Selective attention to developmental concerns,Creation of parental guilt memory,Diminished trust in parenting adequacy,Integration with parenting history,Guilt-driven decision making,Maladaptive response to developmental variation,Effective parent identity threatened,Educational intervention situation,Academic success valued,child teacher suggested consider additional reading support mean child behind struggle academically forever done reading younger,128,16,-0.23750000000000002,0.46249999999999997,Negative,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-10,0,0,0,0,0,2,0,['overgeneralization'],1
"""My presentation to the executive team had one small mistake in it, and now everyone will think I'm completely incompetent and not worthy of the promotion I've been working toward for years.""",shame,all-or-nothing thinking,workplace performance,Recognition that a single error doesn't negate overall competence or define professional worth,Focus on comprehensive performance history while addressing specific feedback constructively,Professional development process,Achievement motivation,Perfectionist perception,Error-avoidance patterns,Workplace evaluation pressure,Selective attention to flaws,Creation of performance anxiety memory,Workplace trust insecurity,Integration of previous success experiences,Reputation-protection decision making,Adaptation to performance feedback,Professional identity threatened,Performance evaluation situation,Excellence valued,presentation executive team one small mistake everyone think im completely incompetent worthy promotion ive working toward year,127,17,-0.08888888888888889,0.5888888888888889,Negative,1,0,0.0,0.0,0.0,0.35199817552721513,0.0,0.61466396331794,0.0,0.0,0.0,0.0,0.0,0.705893403159283,0.0,0.0,0.0,0.0,2025-11-11,0,0,0,1,0,0,2,"['overgeneralization', 'mind reading']",2
"""Everyone at the party is watching me and judging how awkward I am. I'm definitely the most uncomfortable person here and people can tell I don't belong.""",anxiety,spotlight effect,social gathering,Recognition that others are typically focused on their own experiences rather than scrutinizing you,"Practice grounding techniques while engaging in small, manageable social interactions",Social comfort development,Acceptance motivation,Social scrutiny perception,Social withdrawal tendencies,Social comparison influence,Hypervigilance to social reactions,Creation of social discomfort memory,Diminished trust in social acceptance,Integration of previous rejection experiences,Self-protective decision making,Limited exploration of social connections,Socially capable identity questioned,Group social event situation,Social belonging valued,everyone party watching judging awkward im definitely uncomfortable person people tell dont belong,98,13,-0.55,1.0,Negative,1,0,0.0,0.0,0.0,0.49694930165275536,0.0,0.8677795754607496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-12,0,0,1,0,0,1,0,['overgeneralization'],1
"""My new coworker didn't respond to my email for two days. She must dislike me based on our first meeting. I always make terrible first impressions.""",rejection,personalization,workplace relationships,Recognition that email delays frequently occur for reasons unrelated to personal feelings,Consider alternative explanations while maintaining professional communication,Workplace integration process,Connection motivation,Interpersonal rejection perception,Self-criticism pattern,Professional communication norms,Focused attention on response timing,Creation of workplace anxiety memory,Cautious approach to collegial relationships,Integration of previous social difficulties,Self-protective decision making,Hesitancy in further communication,Likeable colleague identity questioned,New workplace integration situation,Professional rapport valued,new coworker didnt respond email two day must dislike based first meeting always make terrible first impression,111,17,-0.09090909090909091,0.5303030303030303,Negative,2,0,0.7353329725431602,0.0,0.0,0.0,0.0,0.0,0.0,0.6777059978271108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-13,0,0,0,0,0,4,0,"['catastrophizing', 'should statements']",2
"""The fact that three people complimented my work project proves I'm exceptional at my job, while my colleague getting similar feedback is probably just people being nice to her.""",pride,self-serving bias,workplace recognition,Recognition of inconsistent attribution standards between self and others,Apply consistent evaluation standards to both personal and others' achievements,Professional self-awareness development,Status motivation,Selective recognition perception,Credit-claiming tendencies,Workplace competition influence,Selective attention to personal strengths,Creation of achievement-focused memory,Overconfidence in personal abilities,Pattern of selectively interpreting feedback,Self-enhancing decision making,Limited receptivity to improvement feedback,Superior contributor identity reinforced,Performance feedback situation,Individual achievement valued,fact three people complimented work project prof im exceptional job colleague getting similar feedback probably people nice,123,17,0.4222222222222222,0.7999999999999999,Positive,0,0,0.0,0.0,0.0,0.3565122964434049,0.0,0.0,0.0,0.0,0.7227179823138276,0.0,0.0,0.0,0.5920960230611922,0.0,0.0,0.0,2025-11-14,0,0,0,0,0,2,0,['none detected'],0
"""My boyfriend is 30 minutes late meeting me for dinner. He's probably been in a terrible accident or decided he wants to break up with me.""",worry,jumping to conclusions,relationship uncertainty,Recognition of tendency to assume extreme negative outcomes without evidence,Practice thought challenging while waiting for factual information,Emotional regulation development,Security motivation,Threat amplification perception,Catastrophic thinking pattern,Attachment anxiety influence,Hypervigilance to timing indicators,Creation of relationship anxiety memory,Relationship security questioned,Integration of abandonment concerns,Safety-seeking decision making,Activation of reassurance-seeking behaviors,Valued partner identity questioned,Punctuality deviation situation,Relationship reliability valued,boyfriend minute late meeting dinner he probably terrible accident decided want break,85,12,-0.65,0.8,Negative,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-15,0,0,0,0,0,2,0,['none detected'],0
"""I know the statistics say most new businesses fail, but mine will definitely succeed because I'm more passionate and hardworking than other entrepreneurs.""",confidence,optimism bias,business venture,Recognition of statistical realities while acknowledging the role of personal factors,Maintain motivation while implementing thorough risk assessment and contingency planning,Business development process,Achievement motivation,Exceptional case perception,Planning bypassing tendencies,Entrepreneurial narrative influence,Selective attention to success stories,Creation of aspirational business memory,Overconfidence in venture viability,Limited exposure to business failures,Risk-dismissive decision making,Insufficient preparation for challenges,Successful entrepreneur identity formation,Business launch situation,Entrepreneurial success valued,know statistic say new business fail mine definitely succeed im passionate hardworking entrepreneur,99,13,-0.10340909090909091,0.5261363636363636,Negative,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-16,0,0,0,0,0,1,0,['none detected'],0
"""My doctor suggested losing weight to help with my joint pain, but I'm sure my pain is caused by something serious they're missing. I need more tests, not lifestyle advice.""",indignation,denial,health management,Recognition of resistance to potentially valuable medical guidance,Consider medical recommendations while addressing emotional reactions to health feedback,Health responsibility process,Comfort motivation,Diagnostic mistrust perception,Treatment resistance pattern,Medical authority questioning,Selective attention to symptom persistence,Creation of medical frustration memory,Diminished trust in conventional treatment,Integration of weight-stigma experiences,Avoidance-oriented decision making,Resistance to lifestyle modification,Health-conscious identity questioned,Medical recommendation situation,Medical expertise challenged,doctor suggested losing weight help joint pain im sure pain caused something serious theyre missing need test lifestyle advice,126,19,-0.011111111111111108,0.5351851851851851,Negative,0,0,0.0,0.0,0.0,0.43261598427637343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9015782884190282,0.0,2025-11-17,0,0,0,0,0,2,0,['none detected'],0
"""I've been meditating for two weeks and don't feel any calmer. This mindfulness trend is clearly just a waste of time that doesn't actually help anyone.""",disappointment,disqualifying the positive,wellness practice,Recognition that meaningful benefits often develop gradually over consistent practice,Continue consistent practice while adjusting expectations about timeline and manifestation of benefits,Skill development process,Wellbeing motivation,Immediate results perception,Quick abandonment pattern,Wellness culture influence,Selective attention to continuing stress,Creation of practice frustration memory,Diminished trust in contemplative practices,Limited patience with skill development,Discontinuation-oriented decision making,Resistance to gradual progress reality,Balanced person identity questioned,Skill acquisition challenge situation,Quick results valued,ive meditating two week dont feel calmer mindfulness trend clearly waste time doesnt actually help anyone,105,16,-0.1,0.05,Negative,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-18,0,0,0,0,0,0,0,['overgeneralization'],1
"""My first attempt at learning Spanish went badly because my teacher was terrible. There's no point trying another class since I clearly don't have any natural language ability.""",defeat,labeling,skill development,Recognition of excessive generalization from limited experience,Approach learning with fresh perspective while exploring varied teaching approaches,Skill acquisition consideration,Growth motivation,Fixed ability perception,Effort abandonment pattern,Educational experience influence,Selective attention to learning difficulties,Creation of educational discouragement memory,Diminished trust in educational processes,Integration of challenging learning experience,Avoidance-oriented decision making,Resistance to skill development persistence,Capable learner identity questioned,Learning setback situation,Natural talent valued,first attempt learning spanish went badly teacher terrible there point trying another class since clearly dont natural language ability,135,19,-0.20833333333333326,0.46388888888888885,Negative,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-19,0,0,0,0,0,2,0,['none detected'],0
"""My friend said something that hurt my feelings, so she's obviously a toxic person who doesn't care about me at all. I need to cut her out of my life immediately.""",hurt,black and white thinking,friendship conflict,Recognition of relationship complexity beyond single interactions,Address specific behavior while maintaining perspective on relationship history,Relationship boundary consideration,Protection motivation,Relationship threat perception,Relationship termination pattern,Interpersonal conflict impact,Selective attention to negative interactions,Creation of friendship injury memory,Relationship trust disruption,Integration of previous relationship disappointments,Protection-oriented decision making,Activation of relationship distancing behaviors,Valued friend identity questioned,Interpersonal hurt situation,Relationship loyalty valued,friend said something hurt feeling shes obviously toxic person doesnt care need cut life immediately,100,15,0.0,0.5,Neutral,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2025-11-20,0,0,1,0,0,2,0,['none detected'],0
"""I feel anxious about flying even though I know plane crashes are extremely rare. My feelings must mean there's a legitimate danger that statistics aren't capturing.""",fear,emotional reasoning,travel anxiety,Recognition that emotional responses don't necessarily reflect objective reality,Acknowledge anxiety while focusing on factual safety information,Anxiety management development,Safety motivation,Danger overestimation perception,Safety checking patterns,Media portrayal influence,Heightened awareness of anxiety sensations,Creation of travel anxiety memory,Diminished trust in transportation safety,Integration of previous anxiety experiences,Avoidance-oriented decision making,Activation of safety-seeking behaviors,Rational person identity questioned,Travel planning situation,Safety certainty valued,feel anxious flying even though know plane crash extremely rare feeling must mean there legitimate danger statistic arent capturing,131,19,-0.08750000000000001,0.8624999999999999,Negative,1,1,0.0,0.0,0.0,0.0,0.5616482967174284,0.0,0.0,0.8273760878792736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-21,0,0,0,0,1,2,1,['should statements'],1
"""I've been trying to lose weight for three months with minimal results. It's pointless to continue my exercise routine since my metabolism is obviously broken and I'll never reach my goals.""",frustration,mental filtering,health goals,Recognition of progress factors beyond scale weight,Adjust expectations while expanding definition of health success metrics,Health habit development,Improvement motivation,Effort futility perception,Goal abandonment pattern,Body ideal culture influence,Selective attention to unchanged metrics,Creation of fitness disappointment memory,Diminished trust in health interventions,Integration of previous diet failures,Discontinuation-oriented decision making,Resistance to long-term consistency,Health-motivated identity questioned,Progress plateau situation,Quick results valued,ive trying lose weight three month minimal result pointless continue exercise routine since metabolism obviously broken ill never reach goal,140,20,-0.3125,0.625,Negative,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-22,0,1,0,0,0,0,0,['catastrophizing'],1
"""My colleague disagreed with my project approach in the meeting. Everyone must think my ideas are worthless, and my reputation is now damaged beyond repair.""",embarrassment,magnification,workplace collaboration,Recognition that professional disagreement is normal and doesn't constitute wholesale rejection,Separate idea critique from personal value while engaging constructively with feedback,Professional resilience development,Respect motivation,Professional rejection perception,Excessive personalization pattern,Workplace evaluation concern,Selective attention to critical feedback,Creation of professional vulnerability memory,Workplace contribution value questioned,Integration of previous criticism experiences,Face-saving decision making,Resistance to open collaborative dialogue,Valuable contributor identity threatened,Professional feedback situation,Expertise recognition valued,colleague disagreed project approach meeting everyone must think idea worthless reputation damaged beyond repair,112,14,-0.8,0.9,Negative,2,0,0.0,0.0,0.0,0.0,0.0,0.5421145387913064,0.0,0.5643676636459531,0.0,0.0,0.0,0.622576073313051,0.0,0.0,0.0,0.0,2025-11-23,0,0,0,0,0,2,0,"['mind reading', 'overgeneralization', 'should statements']",3
"""I declined a party invitation to complete an important work project. Now my friends will think I don't care about them and I'll probably lose these relationships altogether.""",worry,catastrophizing,work-life balance,Recognition that single decisions rarely determine relationship outcomes,Communicate priorities transparently while planning future connection opportunities,Relationship maintenance process,Belonging motivation,Social consequence overestimation,People-pleasing tendency,Social obligation pressure,Divided attention between work and social needs,Creation of social anxiety memory,Relationship security questioned,Integration of previous rejection concerns,Reassurance-seeking decision making,Overcompensation in future social interactions,Reliable friend identity questioned,Invitation declining situation,Social availability valued,declined party invitation complete important work project friend think dont care ill probably lose relationship altogether,122,16,0.0,0.7999999999999999,Neutral,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5906353222203319,0.6214830099231586,0.5146929031204297,0.0,0.0,0.0,2025-11-24,0,0,2,0,0,2,0,['mind reading'],1
"""My performance review mentioned both strengths and areas for improvement, but clearly my manager was just being nice - the improvement needs are what they really think about me.""",insecurity,mental filtering,performance evaluation,Recognition of selective attention to negative feedback while dismissing positive elements,Consider feedback holistically while acknowledging genuine strengths,Professional development process,Competence motivation,Threat-focused perception,Self-criticism pattern,Evaluation context pressure,Selective attention to negative feedback,Creation of professional insecurity memory,Workplace value questioned,Integration of previous criticism experiences,Defense-oriented decision making,Resistance to balanced self-assessment,Competent professional identity threatened,Evaluation feedback situation,Performance excellence valued,performance review mentioned strength area improvement clearly manager nice improvement need really think,105,13,0.3,0.5277777777777778,Positive,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6933832910447011,0.0,0.0,0.7205689499971667,0.0,2025-11-25,0,0,0,0,0,2,0,"['overgeneralization', 'mind reading']",2
"""My coworker received praise for a project we both worked on equally. I'm convinced the boss always favors her and overlooks my contributions, just like all my previous supervisors have done throughout my career.""",resentment,personalization,workplace recognition,Recognition of attribution pattern without assuming intentional exclusion,Directly communicate contributions while examining recurring interpretations,Recognition pattern awareness,Validation motivation,Recognition inequity perception,Negative attribution habit,Workplace hierarchy influence,Selective attention to recognition disparity,Creation of confirmation-biased memory,Diminished trust in fair recognition,Pattern integration with work history,Recognition-seeking decision making,Maladaptive response to perceived inequity,Undervalued contributor identity,Recognition disparity situation,Individual recognition valued,coworker received praise project worked equally im convinced bos always favor overlook contribution like previous supervisor done throughout career,147,19,-0.08333333333333333,0.20833333333333331,Negative,1,0,0.6554772018109714,0.0,0.0,0.3323123433836275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6781726508352731,0.0,0.0,2025-11-26,0,0,0,0,0,3,0,"['overgeneralization', 'catastrophizing']",2
"""The stock I invested in dropped 20% in value. This always happens to me - I'm clearly the worst investor ever and should just give up trying to build wealth.""",despair,catastrophizing,investment setback,Recognition of normal market fluctuation without global self-judgment,Evaluate investment strategies objectively while maintaining perspective on normal market volatility,Financial learning process,Security motivation,Financial failure perception,All-or-nothing thinking habit,Market volatility impact,Hyperfocused attention on losses,Creation of financial catastrophe memory,Diminished trust in financial capacity,Selective recall of investment failures,Avoidance-based decision making,Maladaptive response to normal setbacks,Failed investor identity formation,Investment loss situation,Financial success valued,stock invested dropped value always happens im clearly worst investor ever give trying build wealth,99,15,-1.0,1.0,Negative,1,0,0.8919238918769133,0.0,0.0,0.45218554941433087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-27,0,0,0,0,0,1,0,['catastrophizing'],1
"""My partner said they need some alone time this weekend. They must be getting tired of me and planning to end our relationship. Why else would they want space?""",anxiety,mind reading,relationship boundary,Recognition of personal interpretation without factual evidence,Respect stated needs while avoiding assumption of unstated intentions,Relationship communication process,Security motivation,Rejection anticipation perception,Anxious attachment pattern,Relationship security concern,Hypervigilant attention to relationship signals,Creation of threat-confirming memory,Diminished trust in relationship stability,Integration with attachment history,Safety-seeking decision making,Maladaptive response to normal boundaries,Insecure partner identity,Normal boundary situation,Relationship closeness valued,partner said need alone time weekend must getting tired planning end relationship else would want space,103,16,-0.4,0.7,Negative,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412669386350363,0.0,0.0,0.5674556960758088,0.0,0.0,0.0,0.6205031298323767,0.0,2025-11-28,0,0,0,0,0,2,0,['should statements'],1
"""I made a mistake during my presentation today. Everyone will remember this forever and my professional reputation is completely ruined.""",shame,magnification,professional setback,Recognition of normal performance variation without catastrophic interpretation,Place incident in proper perspective while maintaining professional standards,Professional resilience process,Competence motivation,Reputation threat perception,Perfectionist expectation habit,Professional image concern,Focused attention on single negative event,Creation of performance failure memory,Diminished trust in professional recovery,Integration with performance anxiety history,Image-protection decision making,Maladaptive response to normal error,Damaged professional identity,Public mistake situation,Professional competence valued,made mistake presentation today everyone remember forever professional reputation completely ruined,99,11,0.1,0.25,Positive,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-11-29,0,0,0,0,0,2,0,"['overgeneralization', 'catastrophizing']",2
"""I know I should start my assignment that's due next week, but I don't feel motivated right now. I'll wait until I feel inspired to produce my best work.""",procrastination,emotional reasoning,academic task,Recognition of emotion-based decision making without productivity requirement,Implement structured approach regardless of emotional state,Task management process,Avoidance motivation,Productivity barrier perception,Mood-dependent productivity habit,Academic pressure impact,Divided attention between task and avoidance,Creation of task avoidance memory,Diminished trust in disciplined approach,Integration with procrastination history,Emotion-driven decision making,Maladaptive response to normal resistance,Inspiration-dependent worker identity,Task initiation situation,Motivation-based productivity valued,know start assignment thats due next week dont feel motivated right ill wait feel inspired produce best work,108,18,0.13214285714285715,0.44214285714285706,Positive,0,0,0.0,0.0,0.0,0.0,0.8296514377868662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5582817315461664,0.0,0.0,0.0,2025-11-30,0,0,0,0,0,4,0,['none detected'],0
"""Everyone at the party was talking and laughing. I know they were all judging my outfit and thinking I don't belong there.""",self-consciousness,jumping to conclusions,social gathering,Recognition of interpretation without supporting evidence,Challenge automatic negative thoughts while focusing on genuine interactions,Social comfort development,Social acceptance motivation,Social judgment perception,Social anxiety habit,Group dynamic impact,Hypervigilant attention to social cues,Creation of social threat memory,Diminished trust in social acceptance,Integration with social anxiety history,Withdrawal-oriented decision making,Maladaptive response to social situations,Social outsider identity,Social gathering situation,Social belonging valued,everyone party talking laughing know judging outfit thinking dont belong,72,10,0.0,0.0,Neutral,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-01,0,0,1,0,0,2,0,"['overgeneralization', 'mind reading']",2
"""My child received a B- on their math test. If they don't improve their grades immediately, they'll never get into a good college and their future will be ruined.""",worry,fortune telling,parenting concern,Recognition of future projection without present evidence,Focus on current learning support while maintaining developmental perspective,Academic support process,Child success motivation,Future threat perception,Anxious projection habit,Educational achievement pressure,Future-focused attention at expense of present,Creation of academic threat memory,Diminished trust in developmental process,Integration with academic value history,Pressure-based decision making,Maladaptive response to normal academic variation,Anxious parent identity,Academic performance situation,Educational achievement valued,child received b math test dont improve grade immediately theyll never get good college future ruined,101,16,0.35,0.36250000000000004,Positive,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-02,0,0,0,0,0,2,0,['catastrophizing'],1
"""I've been invited to speak at an industry conference, but I'm going to decline. If I accept and do poorly, everyone will see I'm not really an expert in my field.""",fear,mental filtering,professional opportunity,Recognition of selective focus on potential negative outcomes,Challenge avoidance pattern while preparing appropriately for opportunity,Professional growth opportunity,Self-protection motivation,Professional inadequacy perception,Opportunity avoidance habit,Professional exposure concern,Selective attention to failure possibility,Creation of protective avoidance memory,Diminished trust in professional capacity,Integration with impostor experience history,Risk-avoidance decision making,Maladaptive response to growth opportunity,Vulnerable professional identity,Professional exposure situation,Expertise demonstration valued,ive invited speak industry conference im going decline accept poorly everyone see im really expert field,104,16,-0.1,0.4,Negative,1,0,0.0,0.0,0.0,0.7532830288398144,0.0,0.6576964941839931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-03,0,0,0,0,0,1,0,['overgeneralization'],1
"""My doctor says my symptoms are stress-related, but I'm certain I have a serious undiagnosed illness that they're missing. I've researched online and found several rare conditions that match my symptoms.""",health anxiety,disqualifying the positive,medical concern,Recognition of expertise dismissal while acknowledging genuine concern,Follow medical advice while monitoring symptoms without catastrophizing,Health assessment process,Safety motivation,Health threat perception,Symptom hypervigilance habit,Medical information overload impact,Selective attention to concerning symptoms,Creation of health threat memory,Diminished trust in medical assessment,Integration with health anxiety history,Reassurance-seeking decision making,Maladaptive response to bodily sensations,Concerned patient identity,Symptom experience situation,Medical accuracy valued,doctor say symptom stressrelated im certain serious undiagnosed illness theyre missing ive researched online found several rare condition match symptom,151,20,-0.003809523809523807,0.4376190476190477,Negative,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-04,0,0,0,0,0,0,0,['none detected'],0
"""I need to get a perfect score on this exam or I'm a complete failure as a student. Anything less than 100% is unacceptable.""",pressure,all-or-nothing thinking,academic performance,Recognition of binary success standard without nuanced evaluation,Develop realistic standards while maintaining academic commitment,Performance standard adjustment process,Achievement motivation,Perfectionist evaluation perception,Binary success measurement habit,Academic standard internalization,Hyperfocused attention on perfection,Creation of impossible standard memory,Diminished trust in incremental progress,Integration with perfectionist history,Perfection-driven decision making,Maladaptive response to normal challenges,Perfect student identity,Performance evaluation situation,Academic excellence valued,need get perfect score exam im complete failure student anything less unacceptable,82,12,0.1541666666666667,0.44166666666666665,Positive,0,0,0.0,0.0,0.0,0.43261598427637343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9015782884190282,0.0,2025-12-05,0,0,0,0,0,1,0,['none detected'],0
"""My new colleagues haven't invited me to lunch yet. They clearly don't like me and I'll never fit in at this workplace.""",rejection,overgeneralization,workplace inclusion,Recognition of early interpretation without sufficient data,Allow relationship development time while initiating appropriate connections,Social integration process,Belonging motivation,Social rejection perception,Premature conclusion habit,Workplace culture impact,Selective attention to exclusion signals,Creation of rejection confirmation memory,Diminished trust in social acceptance,Integration with belonging concern history,Withdrawal-oriented decision making,Maladaptive response to normal integration timeline,Workplace outsider identity,New environment situation,Workplace belonging valued,new colleague havent invited lunch yet clearly dont like ill never fit workplace,80,13,-0.11590909090909092,0.559469696969697,Negative,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-06,0,0,0,0,0,3,0,['catastrophizing'],1
"""There's no point in applying for that promotion. They're definitely looking for someone with more experience, and I would just be wasting everyone's time.""",resignation,labeling,career opportunity,Recognition of self-limitation without evidence,Challenge automatic disqualification while realistically assessing fit,Career development opportunity,Self-protection motivation,Inadequacy perception,Opportunity disqualification habit,Professional hierarchy impact,Selective attention to qualification gaps,Creation of self-limiting memory,Diminished trust in professional growth capacity,Integration with career confidence history,Avoidance-based decision making,Maladaptive response to growth opportunity,Limited professional identity,Career advancement situation,Professional advancement valued,there point applying promotion theyre definitely looking someone experience would wasting everyones time,104,13,0.0,0.5,Neutral,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-07,0,0,0,0,0,2,0,['overgeneralization'],1
"""My friend didn't respond to my text right away. She must be angry about something I said yesterday and is probably planning to end our friendship.""",worry,jumping to conclusions,communication delay,Recognition of interpretation without supporting evidence,Consider multiple explanations while avoiding premature conclusions,Communication pattern assessment,Relationship security motivation,Rejection signal perception,Threat-oriented interpretation habit,Digital communication impact,Hypervigilant attention to response timing,Creation of threat confirmation memory,Diminished trust in relationship stability,Integration with rejection sensitivity history,Anxiety-driven decision making,Maladaptive response to normal communication variation,Insecure friend identity,Communication timing situation,Prompt communication valued,friend didnt respond text right away must angry something said yesterday probably planning end friendship,105,15,-0.10714285714285715,0.7678571428571428,Negative,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-08,0,0,1,0,0,2,0,['should statements'],1
"""I've tried meditation three times and didn't feel any different. Mindfulness clearly doesn't work for me and never will, no matter how many times I try it.""",frustration,overgeneralization,skill development,Recognition of premature conclusion based on limited attempts,Approach skill development with realistic timeline expectations,Skill acquisition process,Self-improvement motivation,Learning barrier perception,Quick abandonment habit,Practice requirement misalignment,Selective attention to immediate results,Creation of skill futility memory,Diminished trust in skill acquisition capacity,Integration with learning patience history,Premature abandonment decision making,Maladaptive response to normal learning curve,Non-meditative person identity,Early practice situation,Immediate results valued,ive tried meditation three time didnt feel different mindfulness clearly doesnt work never matter many time try,111,17,0.19999999999999998,0.49444444444444446,Positive,1,0,0.0,0.6123975532486512,0.0,0.0,0.47149872710232693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6345535336880181,0.0,0.0,0.0,2025-12-09,0,0,0,0,0,0,0,['catastrophizing'],1
"""My child's teacher suggested they might benefit from extra help with reading. This confirms my fear that my parenting has failed and my child will struggle throughout their education.""",shame,catastrophizing,parenting feedback,Recognition of support opportunity without global interpretation,Implement recommended supports while maintaining developmental perspective,Child development support process,Parental adequacy motivation,Parenting failure perception,Catastrophic interpretation habit,Educational feedback impact,Selective attention to development concerns,Creation of parental inadequacy memory,Diminished trust in parenting capacity,Integration with parental efficacy history,Shame-based decision making,Maladaptive response to normal development variation,Inadequate parent identity,Educational feedback situation,Child development success valued,child teacher suggested might benefit extra help reading confirms fear parenting failed child struggle throughout education,123,16,-0.25,0.2,Negative,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-10,0,0,0,0,0,2,0,['none detected'],0
